independent_unit_id,method,epsilon,tau,grid_role,arm,witness,score,claim_status,normalized_excess_aurc,relative_improvement_over_random,fixed_qc_nex_aurc,fixed_qc_gain,relative_fixed_qc_gain,negative_control_pass,leakage_control_pass,confound_direction_pass,confound_significance_pass,biological_pairs,technology
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,label_error_shared_closed_set,matched_fd_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,1.1191294550032214,-0.11912945500322147,1.1027806989593598,-0.01634875604386163,-0.016706618797136367,0.0,1.0,0.25,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,label_error_shared_closed_set,matched_fd_combined,post-review sensitivity analysis; manual cortical-layer extension,1.1191294550032214,-0.11912945500322147,1.1027806989593598,-0.01634875604386163,-0.016706618797136367,0.0,1.0,0.25,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,label_error_shared_closed_set,source_boundary_proximity,post-review sensitivity analysis; manual cortical-layer extension,1.1027806989593598,-0.10278069895935985,1.1027806989593598,0.0,0.0,0.0,1.0,0.25,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,source_only_open_set,exact_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,source_only_open_set,exact_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,source_only_open_set,exact_combined,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,source_only_open_set,matched_fd_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,source_only_open_set,matched_fd_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,source_only_open_set,matched_fd_combined,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,source_only_open_set,source_boundary_proximity,post-review sensitivity analysis; manual cortical-layer extension,,,,,,0.0,0.0,0.0,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,heldout_loss,exact_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,0.9967275198144003,0.0032724801855996133,0.839373163778692,-0.15735435603570846,-0.21601620140634972,0.25,1.0,0.5,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,heldout_loss,exact_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,0.8889554103160199,0.11104458968398012,0.839373163778692,-0.049582246537327956,-0.07703214632298946,0.75,1.0,0.5,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,heldout_loss,exact_combined,post-review sensitivity analysis; manual cortical-layer extension,0.8889554103160198,0.11104458968398032,0.839373163778692,-0.04958224653732776,-0.07703214632298913,0.75,1.0,0.5,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,heldout_loss,matched_fd_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,0.9429963036626138,0.05700369633738628,0.839373163778692,-0.1036231398839218,-0.14766297047981997,0.75,1.0,0.5,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,heldout_loss,matched_fd_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,0.9414969392980905,0.05850306070190939,0.839373163778692,-0.10212377551939869,-0.14563595090264814,0.5,1.0,0.5,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,heldout_loss,matched_fd_combined,post-review sensitivity analysis; manual cortical-layer extension,0.9414969392980905,0.05850306070190939,0.839373163778692,-0.10212377551939869,-0.14563595090264814,0.75,1.0,0.5,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.5,,epsilon_scan,N,heldout_loss,source_boundary_proximity,post-review sensitivity analysis; manual cortical-layer extension,0.839373163778692,0.16062683622130808,0.839373163778692,0.0,0.0,0.75,1.0,1.0,0.5,2,spatialLIBD_manual_layers
