method	strategy	coverage	metric	n_independent_units	median	q25	q75
uot	max_probability_gate	0.8	region_label_accuracy	8	0.48135344437205063	0.3327650629222744	0.7658597096820531
uot	max_probability_gate	0.8	true_pair_cosine	8	0.8003012135562322	0.7806547671141618	0.8330048555985142
uot	oracle_truth	0.8	training_positive_precision	8	1.0	1.0	1.0
uot	oracle_truth	0.8	top1	8	0.004337639311043567	0.002826971080702409	0.005148864261435491
uot	oracle_truth	0.8	top5	8	0.019506458726743264	0.019150668393344845	0.02240240388791309
uot	oracle_truth	0.8	top10	8	0.04284091194887574	0.03933177736410608	0.04739299420766697
uot	oracle_truth	0.8	mean_reciprocal_rank	8	0.025550826011341933	0.02364632273159579	0.02649618490863294
uot	oracle_truth	0.8	median_true_rank	8	138.1	114.375	182.425
uot	oracle_truth	0.8	region_label_accuracy	8	0.4589835460009216	0.30473699736131415	0.7761374874598309
uot	oracle_truth	0.8	true_pair_cosine	8	0.8026734332585657	0.7835812844464105	0.8354967768407406
uot	random_gate	0.8	training_positive_precision	8	0.7608689403747454	0.7388704247481467	0.8969758663141124
uot	random_gate	0.8	top1	8	0.0030027252810230793	0.0025970242347951324	0.0038194126620900077
uot	random_gate	0.8	top5	8	0.02093430052789755	0.018821918391638222	0.023598680346896238
uot	random_gate	0.8	top10	8	0.04287333750017713	0.03981160328001676	0.047346816306991814
uot	random_gate	0.8	mean_reciprocal_rank	8	0.024473465452606265	0.021248480140905295	0.025372441887086164
uot	random_gate	0.8	median_true_rank	8	141.89	115.5875	186.91750000000002
uot	random_gate	0.8	region_label_accuracy	8	0.47312522081181263	0.31368017865999165	0.7776004504227938
uot	random_gate	0.8	true_pair_cosine	8	0.8010580633205643	0.781531901172727	0.8340523115099742
uot	top2_margin_gate	0.8	training_positive_precision	8	0.8660924308071707	0.8410589399160658	0.984440504316427
uot	top2_margin_gate	0.8	top1	8	0.0030767244057027373	0.002106227106227106	0.004577707308951981
uot	top2_margin_gate	0.8	top5	8	0.02212032197453096	0.02106589633714314	0.024816037767240173
uot	top2_margin_gate	0.8	top10	8	0.04910311582674616	0.0466224192118391	0.053253135504662805
uot	top2_margin_gate	0.8	mean_reciprocal_rank	8	0.02522319201335909	0.024001639581900477	0.02619589518178186
uot	top2_margin_gate	0.8	median_true_rank	8	139.70000000000002	113.9875	180.3875
uot	top2_margin_gate	0.8	region_label_accuracy	8	0.46355711220812484	0.3177594274561127	0.7785680430153864
uot	top2_margin_gate	0.8	true_pair_cosine	8	0.8020540745867948	0.7812326502400333	0.8343590795669222
