independent_unit_id	cohort_role	method	epsilon0	tau0	contrast_type	regularization_regime	u	v	alpha	beta	metric	reference_value	comparison_value	contrast
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.0	0.5	0.0	h001_response_median	0.26831905424047464	0.13457529698950338	-0.13374375725097126
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.0	0.5	0.0	h001_response_q90	0.31938259459837004	0.16018047099991278	-0.15920212359845726
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.25	0.375	0.125	endpoint_response_mean	0.16784787161664327	0.16784787161664327	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.25	0.375	0.125	endpoint_response_median	0.16550430432657343	0.16550430432657343	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.25	0.375	0.125	endpoint_response_q90	0.20205325024944196	0.20205325024944196	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.25	0.375	0.125	h001_response_mean	0.13437446949246123	0.06745918912640095	-0.06691528036606031
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.25	0.375	0.125	h001_response_median	0.1339011235683122	0.06722251531248359	-0.06667860825582862
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.25	0.375	0.125	h001_response_q90	0.1593779975531292	0.08001129745248622	-0.079366700100643
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.5	0.25	0.25	endpoint_response_mean	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.5	0.25	0.25	endpoint_response_median	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.5	0.25	0.25	endpoint_response_q90	0.0	0.0	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.5	0.25	0.25	h001_response_mean	0.0	5.908708343630665e-14	5.908708343630665e-14
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.5	0.25	0.25	h001_response_median	0.0	5.209114767693059e-14	5.209114767693059e-14
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.5	0.25	0.25	h001_response_q90	0.0	8.707423148060148e-14	8.707423148060148e-14
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.75	0.125	0.375	endpoint_response_mean	0.11260302047936961	0.11260302047936961	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.75	0.125	0.375	endpoint_response_median	0.11328416745314254	0.11328416745314254	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.75	0.125	0.375	endpoint_response_q90	0.13168480268797012	0.13168480268797012	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.75	0.125	0.375	h001_response_mean	0.13385085066551586	0.06732696217503278	-0.06652388849048307
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.75	0.125	0.375	h001_response_median	0.13342011982483098	0.06710237638350025	-0.0663177434413307
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.75	0.125	0.375	h001_response_q90	0.1587530743613862	0.07985349186641712	-0.07889958249496906
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	1.0	0.0	0.5	endpoint_response_mean	0.1952087351915585	0.1952087351915585	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	1.0	0.0	0.5	endpoint_response_median	0.19600044865995858	0.19600044865995858	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	1.0	0.0	0.5	endpoint_response_q90	0.2242354588382336	0.2242354588382336	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	1.0	0.0	0.5	h001_response_mean	0.2671818276479907	0.1345221519994157	-0.132659675648575
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	1.0	0.0	0.5	h001_response_median	0.2663556725224163	0.13408934761018015	-0.13226632491223617
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	1.0	0.0	0.5	h001_response_q90	0.31688181368239593	0.15954925142948115	-0.15733256225291478
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.75	0.0	0.75	0.0	endpoint_response_mean	0.4474215226983263	0.4474215226983263	0.0
