independent_unit_id	pair_id	direction	method	fold	repeat	strategy	coverage	n_train_available	n_train_selected	n_test	training_positive_precision	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	0	oracle_truth	0.8	179	144	94	1.0	0.2980392156862745	0.8085106382978723	0.8085106382978723
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	1	max_probability_gate	0.8	179	144	94	0.7291666666666666	0.3065134099616858	0.851063829787234	0.851063829787234
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	1	top2_margin_gate	0.8	179	144	94	0.8055555555555556	0.3065134099616858	0.851063829787234	0.851063829787234
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	1	random_gate	0.8	179	144	94	0.7013888888888888	0.29365079365079366	0.7872340425531915	0.7872340425531915
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	1	oracle_truth	0.8	179	144	94	1.0	0.2958579881656805	0.7978723404255319	0.7978723404255319
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	2	max_probability_gate	0.8	179	144	94	0.7291666666666666	0.3001949317738791	0.8191489361702128	0.8191489361702128
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	2	top2_margin_gate	0.8	179	144	94	0.8055555555555556	0.2822085889570552	0.7340425531914894	0.7340425531914894
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	2	random_gate	0.8	179	144	94	0.7083333333333334	0.29365079365079366	0.7872340425531915	0.7872340425531915
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	2	oracle_truth	0.8	179	144	94	1.0	0.2845528455284553	0.7446808510638298	0.7446808510638298
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	0	max_probability_gate	0.8	183	147	90	0.6258503401360545	0.21518987341772153	0.7555555555555555	0.7555555555555555
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	0	top2_margin_gate	0.8	183	147	90	0.7346938775510204	0.20198675496688742	0.6777777777777778	0.6777777777777778
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	0	random_gate	0.8	183	147	90	0.5986394557823129	0.2	0.6666666666666666	0.6666666666666666
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	0	oracle_truth	0.8	183	147	90	1.0	0.22727272727272727	0.8333333333333334	0.8333333333333334
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	1	max_probability_gate	0.8	183	147	90	0.6258503401360545	0.15648854961832062	0.45555555555555555	0.45555555555555555
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	1	top2_margin_gate	0.8	183	147	90	0.7346938775510204	0.15648854961832062	0.45555555555555555	0.45555555555555555
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	1	random_gate	0.8	183	147	90	0.6054421768707483	0.17153284671532848	0.5222222222222223	0.5222222222222223
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	1	oracle_truth	0.8	183	147	90	1.0	0.16623376623376623	0.7111111111111111	0.7111111111111111
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	2	max_probability_gate	0.8	183	147	90	0.6258503401360545	0.20588235294117646	0.7	0.7
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	2	top2_margin_gate	0.8	183	147	90	0.7346938775510204	0.2077922077922078	0.7111111111111111	0.7111111111111111
HER2ST::A	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0	2	random_gate	0.8	183	147	90	0.6530612244897959	0.20588235294117646	0.7	0.7
