independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h	h_spearman	h_top_overlap	h_rmae	scalar_gate_pass
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.02	0.9999633017110254	1.0	0.002792273656396893	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.000625	0.9999886537063742	1.0	0.0002583226442762005	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.00125	0.9999785957139431	1.0	0.0005167591549949793	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.0025	0.9999633845167337	1.0	0.0010340939659017217	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.005	0.9998805558018813	1.0	0.002070308559452245	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.01	0.9996653170712567	1.0	0.004150027645309395	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.02	0.9990474832615501	1.0	0.008335740699514455	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.000625	0.9999962179021248	1.0	0.0002316959233585634	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.00125	0.9999962179021248	1.0	0.0004633671258931924	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.0025	0.9999911475030551	1.0	0.0009261868121721927	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.005	0.9999823778118182	1.0	0.0018507057542557544	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.01	0.9999670010031925	1.0	0.00369525964202562	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.02	0.9999290972187312	1.0	0.007363629121973541	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.000625	0.9999962179021248	1.0	0.0002319457396123416	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.00125	0.9999962179021248	1.0	0.00046398157311473213	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.0025	0.9999886537063742	0.9642857142857143	0.000928537877841974	True
HER2ST::C	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.005	0.999984871608499	0.9642857142857143	0.0018591672234036702	True
